batch,rank,firm,project,province_or_city,detected_keyword,candidate_sector,source_url
2024 first batch,1,小米汽车科技有限公司,小米汽车超级智能工厂,北京市,智能工厂,NEV / automotive,https://cn.solarbe.com/news/20250103/92225.html
2024 first batch,2,北京天玛智控科技股份有限公司,智能化无人采煤控制装备智能工厂,北京市,智能化,mining equipment,https://cn.solarbe.com/news/20250103/92225.html
2024 first batch,3,和利时科技集团有限公司,高安全工控产品敏捷智能工厂,北京市,工控,industrial control,https://cn.solarbe.com/news/20250103/92225.html
2024 first batch,4,北京三一智造科技有限公司,基于机器决策的桩工机械智能工厂,北京市,机器决策,construction machinery,https://cn.solarbe.com/news/20250103/92225.html
2024 first batch,5,北京昌数科技有限公司,小米手机智能工厂,北京市,智能工厂,consumer electronics,https://cn.solarbe.com/news/20250103/92225.html
2024 first batch,6,北京理想汽车有限公司,数据模型赋能的新能源汽车智能工厂,北京市,数据模型,NEV / automotive,https://cn.solarbe.com/news/20250103/92225.html
2024 first batch,48,上海上药杏灵科技药业股份有限公司,AI 大模型驱动的现代中药智能工厂,上海市,AI 大模型,pharmaceuticals,https://cn.solarbe.com/news/20250103/92225.html
2024 first batch,65,江苏亨通光电股份有限公司,基于全光网络+AI 的光纤光缆智能工厂,江苏省,AI,fiber optics,https://cn.solarbe.com/news/20250103/92225.html
2024 first batch,144,武汉京东方光电科技有限公司,AI 驱动的显示面板智能工厂,湖北省,AI 驱动,display panels,https://cn.solarbe.com/news/20250103/92225.html
2024 first batch,206,西安法士特高智新科技有限公司,数据和 AI 驱动的重型商用车自动变速器智能工厂,陕西省,AI 驱动,automotive components,https://cn.solarbe.com/news/20250103/92225.html
2025,1,北京北方华创微电子装备有限公司,集成电路装备5G柔性制造智能工厂,北京,5G,semiconductor equipment,https://jlts.com.cn/i/news/detail/2571072131159669662.html
2025,38,沈阳富创精密设备股份有限公司,基于AI的集成电路装备零部件精密制造智能工厂,辽宁,AI,semiconductor equipment,https://jlts.com.cn/i/news/detail/2571072131159669662.html
2025,47,晟碟半导体（上海）有限公司,AI赋能的半导体封装测试智能工厂,上海,AI,semiconductor packaging,https://jlts.com.cn/i/news/detail/2571072131159669662.html
2025,73,江苏沙钢集团有限公司,人工智能深度融合的高品钢制造智能工厂,江苏,人工智能,steel,https://jlts.com.cn/i/news/detail/2571072131159669662.html
2025,80,江苏中天科技股份有限公司,AI+驱动的棒纤缆产业链协同智能工厂,江苏,AI+,fiber/cable,https://jlts.com.cn/i/news/detail/2571072131159669662.html
2025,98,招商局重工（江苏）有限公司,AI+数据驱动的高技术船舶智能工厂,江苏,AI+数据,shipbuilding,https://jlts.com.cn/i/news/detail/2571072131159669662.html
2025,112,寰宇东方国际集装箱（宁波）有限公司,AI融合数字孪生绿色集装箱智能工厂,浙江,AI融合数字孪生,containers,https://jlts.com.cn/i/news/detail/2571072131159669662.html
2025,165,歌尔股份有限公司,融合多模态AI的精密电声器件智能工厂,山东,多模态AI,electronics,https://jlts.com.cn/i/news/detail/2571072131159669662.html
2025,168,浪潮计算机科技有限公司,国产AI服务器全链路协同智能工厂,山东,AI服务器,AI servers,https://jlts.com.cn/i/news/detail/2571072131159669662.html
2025,179,山东钢铁集团日照有限公司,人工智能全流程集成应用的精品板材智能工厂,山东,人工智能,steel,https://jlts.com.cn/i/news/detail/2571072131159669662.html
